runningId,oid_mivne,id_binyan,t_sug_mivne,ms_komot,shem_mivne,t_amudim,id_binyan_orig,gova2009
,24065,25607,____ ____,2,,__,66011,10
,24087,25631,____ ____,3,,__,66004,18
,24088,25632,____ ____,3,,__,66006,18
,24131,25677,____ ____,4,,__,66013,20
,24230,25786,____ ____,2,,__,65721,10
,24236,25792,____ ____,4,,__,66064,21
,24248,25806,____ ____,3,,__,66068,17
,24254,25812,____ ____,3,,__,66067,18
,24291,25851,____ ____,3,,__,66025,7
,24299,25860,____ ____,5,,__,66039,19
,24301,25862,____ ____,1,,__,130067,3
,24317,25879,____ ____,4,,__,69266,16
,24412,25980,____ ____,3,,__,66000,15
,24413,25981,____ ____,4,,__,65998,19
,24414,25982,____ ____,4,,__,65996,16
,24416,25984,____ ____,3,,__,65994,15
,24417,25985,____ ____,3,,__,130064,13
,24420,25988,____ ____,3,,__,65989,18
,24421,25989,____ ____,4,,__,65983,19
,24454,26022,____ ____,3,,__,66002,15
,25568,27177,____ ____,5,,__,74149,19
,25569,27178,____ ____,5,,__,74036,19
,25570,27179,____ ____,4,,__,75266,18
,25572,27181,____ ____,4,,_____ ____ ______,73936,14
,25575,27184,____ ____,1,,__,142778,13
,25576,27185,____ ____,1,,__,75259,12
,25577,27186,____ ____,5,,__,74035,19
,25578,27188,____ ____,3,,__,73288,17
,25579,27189,____ ____,1,,__,56764,17
,25580,27190,____ ____,3,,__,75077,17
,25581,27191,____ ____,3,,_____ ____ ______,73283,18
,25582,27192,____ ____,3,,__,73292,19
,25583,27193,____ ____,1,,__,75263,17
,25584,27194,____ ____,2,,__,75265,18
,25601,27211,____ ____,4,,__,73934,18
,25602,27212,____ ____,4,,_____ ____ ______,73932,18
,25603,27213,____ ____,4,,__,73930,18
,25604,27214,____ ____,4,,__,73928,18
,25605,27215,____ ____,3,,__,75182,19
,25606,27216,____ ____,4,,__,142712,18
,25607,27217,____ ____,4,,_____ ____ ______,74047,18
,25608,27218,____ ____,3,,__,75235,18
,25609,27219,____ ____,3,,_____ ____ ______,75233,13
,25610,27220,____ ____,3,,__,75234,13
,25611,27221,____ ____,4,,_____ ____ ______,74038,17
,25612,27222,____ ____,3,,__,74040,17
,25613,27223,____ ____,4,,__,75220,16
,25614,27224,____ ____,2,,__,75222,16
,25615,27225,____ ____,4,,__,75246,18
,25617,27227,____ ____,1,,__,75257,12
,25618,27228,____ ____,1,,__,75253,11
,25619,27229,____ ____,1,,__,75255,11
